Title	|	Description	|	URL
AlterNet	|	Inspire action, advocacy	|	https://www.alternet.org/news-politics/
American Prospect	|	Progressive perspective	|	https://prospect.org/
Bloomberg	|	Context changes everything	|	https://www.bloomberg.com/opinion
Boston Review	|	Egalitarian public sphere	|	https://www.bostonreview.net/topics/politics/
Coda Story	|	Make complexity accessible	|	https://www.codastory.com/
Common Dreams	|	Ignite change for common good	|	https://www.commondreams.org/opinion
Counter Punch	|	Tell the facts, name the names	|	https://www.counterpunch.org/
Current Affairs	|	Wit, color, and verve	|	https://www.currentaffairs.org/
Daily Beast	|	Independent, irreverent, intelligent	|	https://www.thedailybeast.com/category/politics
Daily KOS	|	News you can do something about	|	https://www.dailykos.com/
Dame	|	Accessible, intersectional, illuminating	|	https://www.damemagazine.com/deep-dives/
Democracy	|	A journal of ideas	|	https://democracyjournal.org/category/arguments/
Democracy Now	|	Perspective on global events	|	https://www.democracynow.org/categories/weekly_column
Dissent	|	Mainstay of the democratic left	|	https://www.dissentmagazine.org/
Guernica	|	Intersection of arts and politics	|	https://www.guernicamag.com/
Harpers	|	Drive our national conversation	|	https://harpers.org/
HuffPost	|	Real stories about real life	|	https://www.huffpost.com/news/politics
Jacobin	|	Socialist perspectives on politics	|	https://jacobinmag.com/
Meidas+	|	Context, clarity, and commentary	|	https://www.meidasplus.com/
Mother Jones	|	Raise awareness and inspire change	|	https://www.motherjones.com/politics/
MSNBC	|	Liberal-leaning political commentary	|	https://www.msnbc.com/opinion/columnists
New Republic	|	The challenges facing a nation	|	https://newrepublic.com/politics
New York Times	|	Seek truth, understand the world	|	https://www.nytimes.com/section/opinion
New Yorker	|	Rigor, fairness, excellence	|	https://www.newyorker.com/
Politico	|	Intersection of politics, policy, and power	|	https://www.politico.com/columnists
Progressive 	|	Grassroots progressive politics	|	https://progressive.org/op-eds
ProPublica	|	Sustained spotlighting of wrongdoing	|	https://www.propublica.org/
Rawstory	|	Popular, fearless, progressive	|	https://www.rawstory.com/commentary/
Rolling Stone	|	Current events and political issues	|	https://www.rollingstone.com/politics/
Salon	|	Question authority and assumptions	|	https://www.salon.com/category/news-and-politics
Slate	|	Witty take on current events	|	https://slate.com/news-and-politics
The Atlantic	|	Pursuing truth since 1857	|	https://www.theatlantic.com/politics/
The Guardian	|	Independence matters	|	https://www.theguardian.com/commentisfree/all
The Intercept	|	Change, not just describe	|	https://theintercept.com/politics/
The Nation	|	Founded by abolitionists in 1865	|	https://www.thenation.com/politics/
The Onion	|	America’s Finest News Source	|	https://theonion.com/
Time 	|	Unparalleled trust and authority	|	https://time.com/section/ideas/
TPM	|	Talking Points Memo	|	https://talkingpointsmemo.com/edblog
TruthDig	|	Possibilities for lasting change	|	https://www.truthdig.com/opinion/
Truthout	|	Progressive and transformative ideas	|	https://truthout.org/
USA Today	|	Unbiased and to the point	|	https://www.usatoday.com/opinion/
Vox	|	Context to what’s happening today	|	https://www.vox.com/policy-and-politics
Washington Monthly	|	Take on the sacred cows	|	https://washingtonmonthly.com/politics/
Washington Post	|	Democracy dies in darkness	|	https://www.washingtonpost.com/opinions/
